peptidase,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
Anti-cancer,0.91899853,0.92262343,0.93662491,0.92704495,0.92483419,0.92188651,0.91672808,0.93220339,0.92999263,0.93146647
Anti-oxidant,0.96950241,0.97913323,0.964687,0.95987159,0.96789727,0.97110754,0.97110754,0.96308186,0.96945338,0.96623794
Anti-viral,0.92336922,0.93033566,0.9221026,0.92716909,0.92780241,0.93409379,0.91064639,0.93155894,0.92268695,0.92965779
Anti-microbial,0.9140825,0.91578947,0.90668563,0.9083926,0.91834993,0.90922026,0.90978941,0.90978941,0.90722823,0.91804212
