peptidase,LR,DT,RF,GBC,AdB,ET,SVC,KNN,GNB,LDA,QDA,MLP,XGB
Anti-oxidant,0.95425361,0.8812199,,0.93980738,0.94462279,0.92054575,0.93820225,0.97110754,0.95987159,0.88924559,0.95425361,0.94060995,0.97351525,0.96789727
Anti-viral,0.86221096,0.81216345,0.89737092,0.876465,,,0.83972125,0.89737092,0.92714602,0.8961039,,0.79759265,0.86442825,0.87773202,0.91320874,0.91891036
Anti-cancer,0.89834254,0.85672192,0.91307551,0.90718232,0.88029466,0.91197053,0.92117864,0.91786372,0.88508287,0.89576427,0.90349908,0.9160221,0.91860037
Anti-microbial,0.87480438,0.83354673,0.90624555,0.88476312,0.85773225,0.91037132,0.91435482,0.91421255,0.83041684,0.87067862,0.89002703,0.89472187,0.9073837,
