peptidase,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10
Anti-inflammatory,0.93459417,0.9251379,0.92986604,0.92277384,0.92823344,0.93059937,0.93217666,0.94006309,0.93533123,0.92981073
Anti-cancer,0.92930781,0.92925571,0.9439941,0.93441415,0.92630803,0.92557111,0.92557111,0.93441415,0.93662491,0.93367723
Anti-ox,0.97271268,0.97110754,0.964687,0.964687,0.96308186,0.96950241,0.97431782,0.964687,0.96141479,0.96623794
Anti-viral,0.92780241,0.93476884,0.92780241,0.93666878,0.9430019,0.94359949,0.92712294,0.95183777,0.94486692,0.93536122
Neuro,0.93152375,0.92041949,0.92905614,0.93214065,0.9222702,0.93522517,0.92535472,0.92901235,0.92160494,0.92962963
Anti-microbial,0.92460882,0.92147937,0.92233286,0.91692745,0.92916074,0.92344906,0.91889585,0.92031873,0.92259533,0.93227092
Immuno,0.8759901,0.88118812,0.87450495,0.86930693,0.8730198,0.88613861,0.88069307,0.8759594,0.87125526,0.87100768
